CpG,gene,region,feature
cg01032220,NR1I2,body,NR1I2__body
cg01032450,TASP1,promoter,TASP1__promoter
cg01032630,HDDC2,body,HDDC2__body
cg01032650,ADAM33,body,ADAM33__body
cg01032653,GPC2,body,GPC2__body
cg01032851,TMCO7,body,TMCO7__body
cg01032946,SETD1A,body,SETD1A__body
cg01033005,SLC7A9,body,SLC7A9__body
cg01033175,ZBTB11,promoter,ZBTB11__promoter
cg01033209,KCNK13,body,KCNK13__body
cg01033299,ITGB7,promoter,ITGB7__promoter
cg01033360,NFIC,body,NFIC__body
cg01033419,DST,body,DST__body
cg01033451,SNRPA1,promoter,SNRPA1__promoter
cg01033463,PHF21B,body,PHF21B__body
cg01033642,CMIP,body,CMIP__body
cg01033646,XPOT,promoter,XPOT__promoter
cg01033871,TNXB,body,TNXB__body
cg01033938,ADAMTS8,promoter,ADAMTS8__promoter
cg01034251,MGC23284,body,MGC23284__body
cg01034396,SMAD9,promoter,SMAD9__promoter
cg01034631,MEG8,promoter,MEG8__promoter
cg01034696,SLC39A7,promoter,SLC39A7__promoter
cg01034726,NPDC1,promoter,NPDC1__promoter
cg01034784,ZNF2,promoter,ZNF2__promoter
cg01034813,GTF3C1,body,GTF3C1__body
cg01034973,TSNARE1,promoter,TSNARE1__promoter
cg01034993,CORO2B,body,CORO2B__body
cg01035013,AMFR,body,AMFR__body
cg01035035,BAALC,body,BAALC__body
cg01035038,GALC,promoter,GALC__promoter
cg01035068,RPL13,body,RPL13__body
cg01035107,SEPW1,promoter,SEPW1__promoter
cg01035160,SNCA,promoter,SNCA__promoter
cg01035198,C6orf141,promoter,C6orf141__promoter
cg01035238,TNFAIP6,promoter,TNFAIP6__promoter
cg01035261,CNGB1,body,CNGB1__body
cg01035422,PLIN1,promoter,PLIN1__promoter
cg01035528,OGFOD2,promoter,OGFOD2__promoter
cg01035804,UBR1,promoter,UBR1__promoter
cg01035812,SLC25A11,promoter,SLC25A11__promoter
cg01035815,ITPR3,body,ITPR3__body
cg01035945,ZNF323,promoter,ZNF323__promoter
cg01035956,TRIM7,promoter,TRIM7__promoter
cg01036148,RNPEP,promoter,RNPEP__promoter
cg01036164,PAK6,promoter,PAK6__promoter
cg01036173,C9orf46,promoter,C9orf46__promoter
cg01036296,RNU5E,promoter,RNU5E__promoter
cg01036351,LOC200726,promoter,LOC200726__promoter
cg01036409,FAM20A,promoter,FAM20A__promoter
cg01036746,C14orf37,promoter,C14orf37__promoter
cg01036779,SH2D3A,promoter,SH2D3A__promoter
cg01036849,FBXO45,body,FBXO45__body
cg01037108,HSPA9,promoter,HSPA9__promoter
cg01037362,FNDC1,body,FNDC1__body
cg01037637,RNF152,promoter,RNF152__promoter
cg01037673,C19orf39,promoter,C19orf39__promoter
cg01037683,CYTSB,body,CYTSB__body
cg01037768,ZNF787,body,ZNF787__body
cg01037823,ZG16B,promoter,ZG16B__promoter
cg01037895,ALPL,promoter,ALPL__promoter
cg01037989,LMF1,body,LMF1__body
cg01038149,P2RX6,promoter,P2RX6__promoter
cg01038207,HYAL3,promoter,HYAL3__promoter
cg01038299,ANKRD6,body,ANKRD6__body
cg01038450,MATN2,promoter,MATN2__promoter
cg01038597,BCKDK,body,BCKDK__body
cg01038640,C5orf52,promoter,C5orf52__promoter
cg01038738,CD7,promoter,CD7__promoter
cg01039117,MED24,body,MED24__body
cg01039133,SYPL1,body,SYPL1__body
cg01039355,ZNF556,promoter,ZNF556__promoter
cg01039401,TEAD4,promoter,TEAD4__promoter
cg01039421,TXNDC6,promoter,TXNDC6__promoter
cg01039429,TRAF3,body,TRAF3__body
cg01039573,SHC2,body,SHC2__body
cg01039695,LGI3,promoter,LGI3__promoter
cg01039849,CAMK4,body,CAMK4__body
cg01040062,ZZEF1,promoter,ZZEF1__promoter
cg01040361,BAI1,body,BAI1__body
cg01040366,RNFT2,body,RNFT2__body
cg01040624,SLC12A8,body,SLC12A8__body
cg01040654,NKX2-5,promoter,NKX2-5__promoter
cg01040749,INPP5A,body,INPP5A__body
cg01040759,ST3GAL5,promoter,ST3GAL5__promoter
cg01040779,FAT1,body,FAT1__body
cg01040850,MR1,promoter,MR1__promoter
cg01040890,FLT4,body,FLT4__body
cg01040960,PAK2,promoter,PAK2__promoter
cg01041222,GRIA2,promoter,GRIA2__promoter
cg01041256,GABRA5,body,GABRA5__body
cg01041284,ARTN,promoter,ARTN__promoter
cg01041405,SMPD3,promoter,SMPD3__promoter
cg01041703,ZMAT2,promoter,ZMAT2__promoter
cg01042100,RBP3,promoter,RBP3__promoter
cg01042174,TASP1,promoter,TASP1__promoter
cg01042202,PCDHA6,body,PCDHA6__body
cg01042287,SH2B1,body,SH2B1__body
cg01042334,OPLAH,promoter,OPLAH__promoter
cg01042368,GPR179,promoter,GPR179__promoter
cg01042637,ASTE1,body,ASTE1__body
cg01042641,IFT140,body,IFT140__body
cg01042749,FAM178A,promoter,FAM178A__promoter
cg01043019,RSPO3,body,RSPO3__body
cg01043119,SLC18A2,body,SLC18A2__body
cg01043196,PRMT7,body,PRMT7__body
cg01043320,SLC11A2,promoter,SLC11A2__promoter
cg01043370,PPIL4,body,PPIL4__body
cg01043409,HIST1H3B,promoter,HIST1H3B__promoter
cg01043524,ZNF3,promoter,ZNF3__promoter
cg01043583,MSRA,body,MSRA__body
cg01043616,ACCN2,body,ACCN2__body
cg01043729,ELAVL1,body,ELAVL1__body
cg01043759,CALD1,body,CALD1__body
cg01043831,TBC1D1,promoter,TBC1D1__promoter
cg01043910,STX7,promoter,STX7__promoter
cg01043957,GPRIN1,promoter,GPRIN1__promoter
cg01043997,TUBB,body,TUBB__body
cg01044127,CLN5,promoter,CLN5__promoter
cg01044129,SMAD9,body,SMAD9__body
cg01044261,CAMK2B,promoter,CAMK2B__promoter
cg01044293,ITGA6,body,ITGA6__body
cg01044331,FKBP4,promoter,FKBP4__promoter
cg01044394,MANF,promoter,MANF__promoter
cg01044409,DHX36,body,DHX36__body
cg01044476,DPPA3,body,DPPA3__body
cg01044608,ZNF543,promoter,ZNF543__promoter
cg01044637,IQSEC1,body,IQSEC1__body
cg01044662,C2orf3,promoter,C2orf3__promoter
cg01044684,ADAMTS13,promoter,ADAMTS13__promoter
cg01044693,ARNT2,body,ARNT2__body
cg01044694,CCDC52,promoter,CCDC52__promoter
cg01044695,KDELR1,promoter,KDELR1__promoter
cg01044722,MYH10,promoter,MYH10__promoter
cg01044770,C3orf19,promoter,C3orf19__promoter
cg01044849,NCRNA00171,body,NCRNA00171__body
cg01044883,BEGAIN,promoter,BEGAIN__promoter
cg01044961,DIO3,promoter,DIO3__promoter
cg01045118,SLFN12L,body,SLFN12L__body
cg01045132,CNN1,promoter,CNN1__promoter
cg01045337,AXIN1,body,AXIN1__body
cg01045423,RPAP2,promoter,RPAP2__promoter
cg01045622,LOC100128292,promoter,LOC100128292__promoter
cg01045723,TLR9,body,TLR9__body
cg01045835,HAPLN1,promoter,HAPLN1__promoter
cg01045913,CNN3,body,CNN3__body
cg01045946,FAM63A,promoter,FAM63A__promoter
cg01046104,ZIK1,promoter,ZIK1__promoter
cg01046174,PIKFYVE,promoter,PIKFYVE__promoter
cg01046287,NYNRIN,promoter,NYNRIN__promoter
cg01046309,TMC7,promoter,TMC7__promoter
cg01046376,PRM3,promoter,PRM3__promoter
cg01046434,PNP,promoter,PNP__promoter
cg01046511,KDM6B,promoter,KDM6B__promoter
cg01046593,HSF2BP,promoter,HSF2BP__promoter
cg01046673,NF2,promoter,NF2__promoter
cg01046703,GPR45,promoter,GPR45__promoter
cg01046798,TJAP1,promoter,TJAP1__promoter
cg01046943,NUP210,body,NUP210__body
cg01047025,DMRT1,body,DMRT1__body
cg01047028,B3GAT1,promoter,B3GAT1__promoter
cg01047045,PRDM16,body,PRDM16__body
cg01047124,IRAK4,promoter,IRAK4__promoter
cg01047218,KDM2A,body,KDM2A__body
cg01047414,PHYH,promoter,PHYH__promoter
cg01047555,C6orf174,body,C6orf174__body
cg01047613,EFCAB8,promoter,EFCAB8__promoter
cg01047635,C11orf58,promoter,C11orf58__promoter
cg01047778,SHANK2,body,SHANK2__body
cg01047779,RING1,body,RING1__body
cg01047904,PDE3A,promoter,PDE3A__promoter
cg01047959,GLT25D1,promoter,GLT25D1__promoter
cg01048107,MSC,promoter,MSC__promoter
cg01048195,LRRC32,promoter,LRRC32__promoter
cg01048203,RNASE9,promoter,RNASE9__promoter
cg01048244,FAM96B,promoter,FAM96B__promoter
cg01048253,C15orf40,body,C15orf40__body
cg01048272,CCDC57,promoter,CCDC57__promoter
cg01048349,FLJ10357,body,FLJ10357__body
cg01048372,C8orf73,promoter,C8orf73__promoter
cg01048561,DOCK3,promoter,DOCK3__promoter
cg01048751,GPR3,promoter,GPR3__promoter
cg01048752,MSRA,body,MSRA__body
cg01048764,IPO9,body,IPO9__body
cg01048810,C1orf228,promoter,C1orf228__promoter
cg01048834,ZNF616,promoter,ZNF616__promoter
cg01048904,LONP1,body,LONP1__body
cg01049121,GRIN1,body,GRIN1__body
cg01049188,PSMD4,promoter,PSMD4__promoter
cg01049205,LRIT1,body,LRIT1__body
cg01049274,ZNF252,promoter,ZNF252__promoter
cg01049417,SCHIP1,body,SCHIP1__body
cg01049482,FBRSL1,body,FBRSL1__body
cg01049530,BMP3,promoter,BMP3__promoter
cg01049674,SPTBN4,body,SPTBN4__body
cg01049678,GIMAP8,promoter,GIMAP8__promoter
cg01049691,PAN2,promoter,PAN2__promoter
cg01049775,ATF4,promoter,ATF4__promoter
cg01049782,CRHR2,body,CRHR2__body
cg01049870,DICER1,promoter,DICER1__promoter
cg01049916,FGFR2,body,FGFR2__body
cg01050010,MYO1D,body,MYO1D__body
cg01050183,TMEM184A,body,TMEM184A__body
cg01050225,A2BP1,body,A2BP1__body
cg01050433,TYRO3,promoter,TYRO3__promoter
cg01050704,MZF1,promoter,MZF1__promoter
cg01050885,NPY,promoter,NPY__promoter
cg01050920,SMPDL3A,promoter,SMPDL3A__promoter
cg01050965,AGXT2L2,body,AGXT2L2__body
cg01051098,LGALS3,body,LGALS3__body
cg01051310,WNT3A,promoter,WNT3A__promoter
cg01051524,NCK2,promoter,NCK2__promoter
cg01051546,PLK1S1,promoter,PLK1S1__promoter
cg01051581,PDZD2,body,PDZD2__body
cg01051583,LGMN,body,LGMN__body
cg01051642,C1orf93,promoter,C1orf93__promoter
cg01052070,WDR20,body,WDR20__body
cg01052087,C20orf94,promoter,C20orf94__promoter
cg01052103,RNF5P1,promoter,RNF5P1__promoter
cg01052291,VNN1,promoter,VNN1__promoter
cg01052428,PACS2,body,PACS2__body
cg01052502,IFT140,promoter,IFT140__promoter
cg01052512,TSC2,promoter,TSC2__promoter
cg01052614,BAI1,body,BAI1__body
cg01052636,PDE6B,body,PDE6B__body
cg01052666,PPM1F,body,PPM1F__body
cg01052743,MYC,promoter,MYC__promoter
cg01052805,EPN2,promoter,EPN2__promoter
cg01052854,SIKE1,promoter,SIKE1__promoter
cg01052879,MIR124-3,promoter,MIR124-3__promoter
cg01053087,ERICH1,body,ERICH1__body
cg01053196,PHF15,body,PHF15__body
cg01053259,WNT5B,body,WNT5B__body
cg01053273,SCRT2,body,SCRT2__body
cg01053282,STK24,body,STK24__body
cg01053621,APOA2,promoter,APOA2__promoter
cg01053681,ZMIZ1,promoter,ZMIZ1__promoter
cg01053714,SLC12A6,promoter,SLC12A6__promoter
cg01053763,SBF2,body,SBF2__body
cg01054023,C1orf35,promoter,C1orf35__promoter
cg01054110,NCOR2,promoter,NCOR2__promoter
cg01054241,KLHDC7B,promoter,KLHDC7B__promoter
cg01054282,KIAA0020,promoter,KIAA0020__promoter
cg01054354,LYSMD4,promoter,LYSMD4__promoter
cg01054402,TGOLN2,body,TGOLN2__body
cg01054432,NOTCH4,body,NOTCH4__body
cg01054502,C16orf75,promoter,C16orf75__promoter
cg01054622,KIF17,promoter,KIF17__promoter
cg01054658,MAK16,promoter,MAK16__promoter
cg01054755,LOC389333,promoter,LOC389333__promoter
cg01054775,C10orf110,promoter,C10orf110__promoter
cg01054891,PEG3,promoter,PEG3__promoter
cg01054938,ABCC3,body,ABCC3__body
cg01055000,NUP93,promoter,NUP93__promoter
cg01055044,CCDC108,body,CCDC108__body
cg01055099,NAT15,promoter,NAT15__promoter
cg01055121,ARNTL,body,ARNTL__body
cg01055191,SQSTM1,promoter,SQSTM1__promoter
cg01055279,ZNF862,promoter,ZNF862__promoter
cg01055281,NOD2,body,NOD2__body
cg01055386,TMEM132C,body,TMEM132C__body
cg01055543,MRPL33,body,MRPL33__body
cg01055562,COG2,promoter,COG2__promoter
cg01055579,NLE1,promoter,NLE1__promoter
cg01055591,CECR5,body,CECR5__body
cg01055714,RPP30,body,RPP30__body
cg01055824,CCDC88C,body,CCDC88C__body
cg01055830,RBM22,body,RBM22__body
cg01055868,FOXP1,promoter,FOXP1__promoter
cg01055871,EHD2,promoter,EHD2__promoter
cg01056135,SERPINB13,promoter,SERPINB13__promoter
cg01056155,BTF3,promoter,BTF3__promoter
cg01056174,ANAPC1,promoter,ANAPC1__promoter
cg01056242,GPR133,body,GPR133__body
cg01056310,SERBP1,body,SERBP1__body
cg01056358,RPS6KA2,body,RPS6KA2__body
cg01056398,CHDH,body,CHDH__body
cg01056478,YY1,body,YY1__body
cg01056568,GLP2R,promoter,GLP2R__promoter
cg01056590,CABC1,promoter,CABC1__promoter
cg01056678,MAST4,body,MAST4__body
cg01056775,CYP4V2,promoter,CYP4V2__promoter
cg01056808,FAT3,promoter,FAT3__promoter
cg01056889,NEK10,promoter,NEK10__promoter
cg01056903,ZNF335,promoter,ZNF335__promoter
cg01056945,RHOQ,promoter,RHOQ__promoter
cg01057176,DPP10,promoter,DPP10__promoter
cg01057196,LOC284688,promoter,LOC284688__promoter
cg01057268,NTM,body,NTM__body
cg01057287,KIAA0556,body,KIAA0556__body
cg01057552,OBSCN,body,OBSCN__body
cg01057573,TNFAIP8,body,TNFAIP8__body
cg01057656,CBLC,promoter,CBLC__promoter
cg01057705,TXNRD2,body,TXNRD2__body
cg01057945,LOC283332,body,LOC283332__body
cg01057962,BCL6,promoter,BCL6__promoter
cg01058004,DEFB136,promoter,DEFB136__promoter
cg01058070,TNFAIP8L3,promoter,TNFAIP8L3__promoter
cg01058212,PRR3,body,PRR3__body
cg01058266,HEATR2,body,HEATR2__body
cg01058342,TMEM108,body,TMEM108__body
cg01058360,PRKAG2,body,PRKAG2__body
cg01058368,CDH10,promoter,CDH10__promoter
cg01058717,SSU72,body,SSU72__body
cg01058879,APBB2,body,APBB2__body
cg01058902,NAV1,promoter,NAV1__promoter
cg01059047,MMP28,body,MMP28__body
cg01059100,PYCARD,promoter,PYCARD__promoter
cg01059290,C16orf75,promoter,C16orf75__promoter
cg01059449,ST8SIA5,promoter,ST8SIA5__promoter
cg01059609,DIAPH1,body,DIAPH1__body
cg01059669,SGK1,promoter,SGK1__promoter
cg01059731,NR1D1,body,NR1D1__body
cg01059743,EGR4,promoter,EGR4__promoter
cg01059768,CDH22,body,CDH22__body
cg01059818,NLK,body,NLK__body
cg01059881,LAMA5,body,LAMA5__body
cg01059913,TMEM233,body,TMEM233__body
cg01060026,PLXND1,promoter,PLXND1__promoter
cg01060059,OXCT1,body,OXCT1__body
cg01060165,MED25,promoter,MED25__promoter
cg01060409,RAN,promoter,RAN__promoter
cg01060804,AGBL5,promoter,AGBL5__promoter
cg01060861,MKX,promoter,MKX__promoter
cg01060952,XYLT2,body,XYLT2__body
cg01060964,CDK5RAP1,promoter,CDK5RAP1__promoter
cg01061025,INTS7,promoter,INTS7__promoter
cg01061553,GPN3,body,GPN3__body
cg01061575,PRR5-ARHGAP8,promoter,PRR5-ARHGAP8__promoter
cg01061590,PPFIBP1,promoter,PPFIBP1__promoter
cg01061843,MTO1,promoter,MTO1__promoter
cg01061877,KPTN,promoter,KPTN__promoter
cg01061944,DCAKD,promoter,DCAKD__promoter
cg01061956,PPP2R2C,body,PPP2R2C__body
cg01062020,SH2D1B,promoter,SH2D1B__promoter
cg01062024,IMPDH2,body,IMPDH2__body
cg01062113,PANX1,body,PANX1__body
cg01062470,KIF24,promoter,KIF24__promoter
cg01062519,MMP28,body,MMP28__body
cg01062539,CHP2,promoter,CHP2__promoter
cg01062691,SNN,promoter,SNN__promoter
cg01062834,KIAA1462,promoter,KIAA1462__promoter
cg01062937,ZFPM1,body,ZFPM1__body
cg01062942,RASAL3,body,RASAL3__body
cg01062980,LRTOMT,promoter,LRTOMT__promoter
cg01063178,TDRKH,promoter,TDRKH__promoter
cg01063243,MYCBP2,promoter,MYCBP2__promoter
cg01063425,SBF1,body,SBF1__body
cg01063509,PLA2G2C,promoter,PLA2G2C__promoter
cg01063524,NME1,promoter,NME1__promoter
cg01063572,NFIA,promoter,NFIA__promoter
cg01063615,TAF15,body,TAF15__body
cg01063813,STAT6,promoter,STAT6__promoter
cg01063935,PEX14,body,PEX14__body
cg01063965,TMEM80,promoter,TMEM80__promoter
cg01064048,KIAA0232,body,KIAA0232__body
cg01064131,ATP4B,promoter,ATP4B__promoter
cg01064265,IRX6,body,IRX6__body
cg01064286,ATF3,promoter,ATF3__promoter
cg01064307,CD55,promoter,CD55__promoter
cg01064363,FAM59B,body,FAM59B__body
cg01064432,VPS52,body,VPS52__body
cg01064573,PEX10,promoter,PEX10__promoter
cg01064749,GABRA4,body,GABRA4__body
cg01064902,SIRT5,promoter,SIRT5__promoter
cg01064903,TIMM44,body,TIMM44__body
cg01064918,SLC24A4,promoter,SLC24A4__promoter
cg01064957,SNX2,promoter,SNX2__promoter
cg01065003,KCTD1,promoter,KCTD1__promoter
cg01065100,MUM1,body,MUM1__body
cg01065180,EBF2,body,EBF2__body
cg01065413,MIA3,promoter,MIA3__promoter
cg01065586,MOCS2,promoter,MOCS2__promoter
cg01065599,SIM2,body,SIM2__body
cg01065780,MB,promoter,MB__promoter
cg01065828,E2F5,promoter,E2F5__promoter
cg01065920,NDUFA12,body,NDUFA12__body
cg01065938,CNIH3,body,CNIH3__body
cg01065960,ERAL1,promoter,ERAL1__promoter
cg01065977,ISYNA1,promoter,ISYNA1__promoter
cg01066189,LOC340017,promoter,LOC340017__promoter
cg01066212,PSMC3IP,body,PSMC3IP__body
cg01066270,FAM169A,promoter,FAM169A__promoter
cg01066274,WDR59,promoter,WDR59__promoter
cg01066357,ZBTB25,promoter,ZBTB25__promoter
cg01066431,LOC642826,promoter,LOC642826__promoter
cg01066451,BAIAP2,body,BAIAP2__body
cg01066458,DYNLT1,promoter,DYNLT1__promoter
cg01066465,MATN1,body,MATN1__body
cg01066494,PPP2R5C,body,PPP2R5C__body
cg01066808,PRKG2,body,PRKG2__body
cg01066936,TEF,promoter,TEF__promoter
cg01067010,NTM,body,NTM__body
cg01067062,SAMD14,body,SAMD14__body
cg01067137,ZNF646,body,ZNF646__body
cg01067190,ZNF311,body,ZNF311__body
cg01067444,C6orf204,promoter,C6orf204__promoter
cg01067603,DAB1,promoter,DAB1__promoter
cg01067604,VAMP3,body,VAMP3__body
cg01067626,SKP1,promoter,SKP1__promoter
cg01067724,CCDC102A,promoter,CCDC102A__promoter
cg01067809,DOM3Z,promoter,DOM3Z__promoter
cg01067936,PAQR3,promoter,PAQR3__promoter
cg01067963,MAPK1,promoter,MAPK1__promoter
cg01067983,SERPINB6,promoter,SERPINB6__promoter
cg01068006,PEX14,promoter,PEX14__promoter
cg01068014,MIR17HG,body,MIR17HG__body
cg01068102,SNX32,body,SNX32__body
cg01068136,DCLRE1A,promoter,DCLRE1A__promoter
cg01068240,KIAA0467,promoter,KIAA0467__promoter
cg01068320,WDR37,body,WDR37__body
cg01068407,ATG9B,body,ATG9B__body
cg01068412,ZNF416,promoter,ZNF416__promoter
cg01068452,RB1CC1,promoter,RB1CC1__promoter
cg01068601,NRN1L,promoter,NRN1L__promoter
cg01068808,GLT25D2,promoter,GLT25D2__promoter
cg01068823,C16orf65,promoter,C16orf65__promoter
cg01069159,GABRA1,promoter,GABRA1__promoter
cg01069170,ETHE1,promoter,ETHE1__promoter
cg01069182,KIAA1244,body,KIAA1244__body
cg01069451,SLC4A11,body,SLC4A11__body
cg01069468,SYNGAP1,body,SYNGAP1__body
cg01069753,UBE2J1,promoter,UBE2J1__promoter
cg01069791,KIAA1671,body,KIAA1671__body
cg01069804,RPS27L,body,RPS27L__body
cg01069808,ZNF238,promoter,ZNF238__promoter
cg01069845,TLL2,promoter,TLL2__promoter
cg01070065,FAM167B,body,FAM167B__body
cg01070095,SETD1A,promoter,SETD1A__promoter
cg01070161,LRCH3,body,LRCH3__body
cg01070197,DLC1,body,DLC1__body
cg01070219,CDK19,body,CDK19__body
cg01070272,PIP5K1C,body,PIP5K1C__body
cg01070404,PLEKHM3,promoter,PLEKHM3__promoter
cg01070560,CSMD1,body,CSMD1__body
cg01070657,KLF7,body,KLF7__body
cg01070694,KPNB1,promoter,KPNB1__promoter
cg01070760,PSMA8,promoter,PSMA8__promoter
cg01070854,DSP,body,DSP__body
cg01070985,HIC1,promoter,HIC1__promoter
cg01070987,PFN2,body,PFN2__body
cg01071153,CBS,promoter,CBS__promoter
cg01071279,SUPV3L1,promoter,SUPV3L1__promoter
cg01071289,PACRG,body,PACRG__body
cg01071313,FLII,promoter,FLII__promoter
cg01071367,NEURL3,promoter,NEURL3__promoter
cg01071440,CAPZB,body,CAPZB__body
cg01071493,KCNK7,promoter,KCNK7__promoter
cg01071511,MAD1L1,body,MAD1L1__body
cg01071534,C21orf70,body,C21orf70__body
cg01071644,QSOX2,promoter,QSOX2__promoter
cg01071811,L3MBTL,promoter,L3MBTL__promoter
cg01071966,CRHBP,promoter,CRHBP__promoter
cg01072202,RSF1,body,RSF1__body
cg01072217,UNCX,body,UNCX__body
cg01072658,OBSL1,body,OBSL1__body
cg01072786,GLB1L,body,GLB1L__body
cg01072936,RASSF4,body,RASSF4__body
cg01072952,EDIL3,body,EDIL3__body
cg01072968,FOXRED2,body,FOXRED2__body
cg01073332,UCKL1,promoter,UCKL1__promoter
cg01073369,CIRBP,promoter,CIRBP__promoter
cg01073479,NAT15,promoter,NAT15__promoter
cg01073575,XPO6,promoter,XPO6__promoter
cg01073605,FAM175B,body,FAM175B__body
cg01073837,PLEKHA2,promoter,PLEKHA2__promoter
cg01073918,PRKCZ,body,PRKCZ__body
cg01073988,ZNF146,promoter,ZNF146__promoter
cg01074001,ABCC1,body,ABCC1__body
cg01074305,GALNT9,body,GALNT9__body
cg01074325,TRIM15,body,TRIM15__body
cg01074354,AKAP6,body,AKAP6__body
cg01074356,DAB1,promoter,DAB1__promoter
cg01074365,EPS8L2,body,EPS8L2__body
cg01074413,LOC100288797,promoter,LOC100288797__promoter
cg01074508,SLC26A2,promoter,SLC26A2__promoter
cg01074584,SFRP1,promoter,SFRP1__promoter
cg01074628,LIPT2,promoter,LIPT2__promoter
cg01074643,TSSC1,body,TSSC1__body
cg01074657,GIPC2,promoter,GIPC2__promoter
cg01074795,MED15,body,MED15__body
cg01074921,FHOD3,body,FHOD3__body
cg01074928,RNF5P1,promoter,RNF5P1__promoter
cg01074955,NPHP4,body,NPHP4__body
cg01075002,TIAM2,body,TIAM2__body
cg01075305,SDF4,body,SDF4__body
cg01075497,IPO4,promoter,IPO4__promoter
cg01075553,MCF2L,body,MCF2L__body
cg01075763,TGIF1,promoter,TGIF1__promoter
cg01075918,VAPA,promoter,VAPA__promoter
cg01075966,C10orf11,body,C10orf11__body
cg01076035,KCTD9,promoter,KCTD9__promoter
cg01076129,CRISP2,promoter,CRISP2__promoter
cg01076200,CCT3,promoter,CCT3__promoter
cg01076217,IL20RA,body,IL20RA__body
cg01076416,RCBTB1,promoter,RCBTB1__promoter
cg01076459,RAP1GAP2,body,RAP1GAP2__body
cg01076708,TMEM45B,promoter,TMEM45B__promoter
cg01076971,PGCP,promoter,PGCP__promoter
cg01076997,ELFN2,promoter,ELFN2__promoter
cg01077085,LMNB1,promoter,LMNB1__promoter
cg01077100,BTBD16,body,BTBD16__body
cg01077102,TMCO4,promoter,TMCO4__promoter
cg01077178,COMMD3,promoter,COMMD3__promoter
cg01077267,GIN1,promoter,GIN1__promoter
cg01077278,MATR3,promoter,MATR3__promoter
cg01077350,C6orf52,promoter,C6orf52__promoter
cg01077354,KNDC1,body,KNDC1__body
cg01077609,PKN2,promoter,PKN2__promoter
cg01077795,F10,body,F10__body
cg01077808,C19orf44,promoter,C19orf44__promoter
cg01077841,STK24,body,STK24__body
cg01078048,LRP4,body,LRP4__body
cg01078147,SEMA6A,promoter,SEMA6A__promoter
cg01078174,VAMP3,promoter,VAMP3__promoter
cg01078197,MSL3L2,promoter,MSL3L2__promoter
cg01078248,NDUFA5,body,NDUFA5__body
cg01078271,DACT3,promoter,DACT3__promoter
cg01078378,CPSF6,body,CPSF6__body
cg01078434,MAS1L,promoter,MAS1L__promoter
cg01078446,TBX3,body,TBX3__body
cg01078582,DSCAM,body,DSCAM__body
cg01078824,HOXA10,promoter,HOXA10__promoter
cg01078871,FBXO33,promoter,FBXO33__promoter
cg01078903,MIR487B,promoter,MIR487B__promoter
cg01078989,ITGA8,promoter,ITGA8__promoter
cg01079098,GALNTL4,body,GALNTL4__body
cg01079242,DPEP1,promoter,DPEP1__promoter
cg01079407,PARK2,body,PARK2__body
cg01079632,SMG1,body,SMG1__body
cg01079651,COL18A1,body,COL18A1__body
cg01079652,IFI44,body,IFI44__body
cg01079658,ZNF655,promoter,ZNF655__promoter
cg01079738,C1orf14,promoter,C1orf14__promoter
cg01079840,GNL1,body,GNL1__body
cg01079872,PRDM16,body,PRDM16__body
cg01079941,DOT1L,body,DOT1L__body
cg01079969,ST3GAL3,promoter,ST3GAL3__promoter
cg01080357,NCLN,body,NCLN__body
cg01080375,TTC9,body,TTC9__body
cg01080407,SDCCAG3,body,SDCCAG3__body
cg01080410,ZNF225,promoter,ZNF225__promoter
cg01080424,KDELR2,body,KDELR2__body
cg01080592,HSPB6,promoter,HSPB6__promoter
cg01080600,AGAP1,body,AGAP1__body
cg01080924,C22orf26,promoter,C22orf26__promoter
cg01080927,RNF217,body,RNF217__body
cg01080986,GALNT2,body,GALNT2__body
cg01080998,LOC645323,promoter,LOC645323__promoter
cg01081069,YJEFN3,body,YJEFN3__body
cg01081079,COG4,promoter,COG4__promoter
cg01081096,ATG9B,promoter,ATG9B__promoter
cg01081263,SCUBE2,body,SCUBE2__body
cg01081303,HAUS3,body,HAUS3__body
cg01081561,SLC20A1,promoter,SLC20A1__promoter
cg01081584,EIF2AK4,body,EIF2AK4__body
cg01081636,GRM4,body,GRM4__body
cg01081718,ATG3,body,ATG3__body
cg01081775,ABLIM2,body,ABLIM2__body
cg01081813,UBASH3B,body,UBASH3B__body
